date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
2019-02,19,,,,,,,,,,,,,,,,,,
2019-03,155,,,,,,,,,,,,,,,,,,
2019-04,11,2.2659045725646125,69.96513409961686,27.31161364507474,0,1,2,4,6,50,58,72,80,88,11,18,26,37,44
2019-05,12,,,,,,,,,,,,,,,,,,
2019-06,53,,,,,,,,,,,,,,,,,,
2019-07,154,2.391905737704918,67.6238354037267,29.624077669902913,0,1,2,4,7,50,57,69,77,85,13,22,30,38,44
2019-08,99,,,,,,,,,,,,,,,,,,
2019-09,98,,,,,,,,,,,,,,,,,,
2019-10,72,3.99129638112689,61.37274472168906,34.09505557684937,0,1,3,7,10,47,52,63,69,75,23,29,34,40,44
2019-11,69,,,,,,,,,,,,,,,,,,
2019-12,211,,,,,,,,,,,,,,,,,,
2020-01,24,4.259312320916905,62.77592116538132,32.22274476271911,0,1,4,7,10,43,49,65,75,82,16,22,31,43,49
2020-02,12,,,,,,,,,,,,,,,,,,
2020-03,142,,,,,,,,,,,,,,,,,,
2020-04,40,2.550724637681159,71.55841503267973,25.4766966475879,0,1,2,4,7,50,57,75,84,90,8,14,23,38,44
2020-05,54,,,,,,,,,,,,,,,,,,
2020-06,94,,,,,,,,,,,,,,,,,,
2020-07,37,2.2711340206185566,69.57681940700809,27.82819722650231,0,0,2,4,7,50,57,72,80,88,11,18,27,39,44
2020-08,26,,,,,,,,,,,,,,,,,,
2020-09,3,,,,,,,,,,,,,,,,,,
2020-10,98,2.8858290304073435,66.61607142857143,30.151582701738743,0,1,2,5,8,48,54,69,77,83,16,22,29,40,45
2020-11,453,,,,,,,,,,,,,,,,,,
2020-12,158,,,,,,,,,,,,,,,,,,
2021-01,57,2.834200743494424,69.438739789965,27.347521865889213,0,1,2,5,8,50,57,71,81,86,12,18,27,37,44
2021-02,112,,,,,,,,,,,,,,,,,,
2021-03,75,,,,,,,,,,,,,,,,,,
2021-04,174,2.096311475409836,75.24904067536454,22.351330505206324,0,0,2,3,6,56,62,78,86,93,6,12,21,34,40
2021-05,103,,,,,,,,,,,,,,,,,,
2021-06,34,,,,,,,,,,,,,,,,,,
2021-07,93,2.2234375,72.5512118842846,24.87372549019608,0,0,2,4,6,55,62,74,82,89,9,16,24,34,40
2021-08,65,,,,,,,,,,,,,,,,,,
2021-09,88,,,,,,,,,,,,,,,,,,
2021-10,96,3.046033300685602,67.34574059861858,29.320552147239265,0,1,2,5,8,51,56,70,76,82,17,22,29,37,42
2021-11,126,,,,,,,,,,,,,,,,,,
2021-12,403,,,,,,,,,,,,,,,,,,
2022-01,22,2.809164149043303,69.93269630245118,26.789364353967596,0,1,2,5,7,52,59,71,80,86,12,18,26,36,42
2022-02,111,,,,,,,,,,,,,,,,,,
2022-03,77,,,,,,,,,,,,,,,,,,
2022-04,,,,,,,,,,,,,,,,,,,
2022-05,,,,,,,,,,,,,,,,,,,
2022-06,,,,,,,,,,,,,,,,,,,
2022-07,,,,,,,,,,,,,,,,,,,
2022-08,,,,,,,,,,,,,,,,,,,
2022-09,,,,,,,,,,,,,,,,,,,
2022-10,,,,,,,,,,,,,,,,,,,
2022-11,,,,,,,,,,,,,,,,,,,
2022-12,,,,,,,,,,,,,,,,,,,
2023-01,,,,,,,,,,,,,,,,,,,
2023-02,,,,,,,,,,,,,,,,,,,
